 41053	2002	35	AREA OPERATED: (1,000 OR MORE ACRES)
 41071	2002	1,105	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41035	1997	179	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41027	2002	157	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41061	2002	128	AREA OPERATED: (180 TO 499 ACRES)
 41029	2002	532	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41059	2002	468	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41013	2007	67	AREA OPERATED: (1,000 OR MORE ACRES)
 41005	2002	1,659	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41033	2002	339	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41009	1997	389	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41017	2002	240	AREA OPERATED: (50 TO 179 ACRES)
 41027	1997	175	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41065	1997	44	AREA OPERATED: (500 TO 999 ACRES)
 41007	1997	31	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41045	2002	168	AREA OPERATED: (1,000 OR MORE ACRES)
 41015	2002	22	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41017	2007	17	AREA OPERATED: (1,000 OR MORE ACRES)
 41029	2002	370	AREA OPERATED: (50 TO 179 ACRES)
 41063	2002	138	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41061	2002	323	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41011	2007	28	AREA OPERATED: (1,000 OR MORE ACRES)
 41071	2007	31	AREA OPERATED: (1,000 OR MORE ACRES)
 41071	2002	69	AREA OPERATED: (500 TO 999 ACRES)
 41049	2002	31	AREA OPERATED: (180 TO 499 ACRES)
 41035	1997	297	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41043	1997	105	AREA OPERATED: (500 TO 999 ACRES)
 41043	2002	96	AREA OPERATED: (500 TO 999 ACRES)
 41003	2002	277	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41061	1997	293	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41029	2002	45	AREA OPERATED: (500 TO 999 ACRES)
 41049	1997	60	AREA OPERATED: (1.0 TO 9.9 ACRES)
